chlorides,total_sulfur_dioxide,density,pH,alcohol,high_quality
0.061,94.0,0.9965,3.48,10.7,0
0.037,119.0,0.9908,3.25,12.4,1
0.032,95.0,0.992,3.09,11.1,0
0.047,133.0,0.9978,2.99,8.8,0
0.045,133.0,0.9978,3.0,8.7,0
0.045,133.0,0.9978,3.0,8.7,0
0.047,133.0,0.9978,2.99,8.8,0
0.037,101.0,0.9912,3.21,11.7,1
0.051,195.0,0.9928,3.23,10.9,0
0.051,190.0,0.9928,3.23,10.8,0
0.057,135.0,0.993,3.12,9.6,0
0.084,222.0,0.9993,3.18,9.0,0
0.083,171.0,0.9965,2.85,9.0,0
0.043,141.0,0.9937,3.36,10.4,0
0.045,64.0,0.9913,3.23,11.4,0
0.066,128.0,0.9934,3.26,9.3,0
0.039,130.0,0.9952,3.33,11.0,1
0.096,177.0,0.9983,3.32,9.1,0
0.048,228.0,0.9957,3.23,9.4,0
0.048,228.0,0.9957,3.23,9.4,0
0.036,99.0,0.9916,3.18,10.5,0
0.05,144.0,0.9999,3.22,8.8,0
0.05,144.0,0.9999,3.22,8.8,0
0.04,131.0,0.9936,3.26,10.7,0
0.045,187.0,0.9972,3.33,9.5,0
0.033,150.0,0.9933,3.43,10.9,0
0.027,140.0,0.9934,3.49,10.8,0
0.037,133.0,0.9931,3.41,10.8,1
0.053,148.0,0.9976,3.1,9.2,0
0.046,198.0,0.9937,3.3,10.3,0
0.046,197.0,0.9937,3.3,10.3,0
0.047,127.0,0.991,3.34,11.0,1
0.054,189.0,0.9979,3.25,9.0,0
0.046,179.0,0.9971,3.36,10.4,0
0.05,163.0,0.9969,3.31,9.5,0
0.051,166.0,0.9968,3.31,9.5,0
0.058,166.0,0.9961,3.24,9.0,0
0.061,151.0,0.993,3.09,9.5,0
0.05,146.0,0.9973,3.16,9.0,0
0.041,190.0,0.9944,3.16,10.0,0
0.067,189.0,0.9986,3.07,9.1,1
0.067,189.0,0.9986,3.07,9.1,1
0.067,189.0,0.9986,3.07,9.1,1
0.067,189.0,0.9986,3.07,9.1,1
0.053,134.0,0.9972,3.34,9.5,0
0.048,138.0,0.9917,3.33,11.4,1
0.03,117.0,0.992,3.11,12.2,0
0.028,95.0,0.9932,3.04,11.3,0
0.05,136.0,0.9936,3.25,10.2,0
0.052,188.0,0.9915,3.24,11.3,0
0.038,234.5,0.9922,3.15,10.0,0
0.049,86.0,0.9934,3.15,9.4,0
0.032,133.0,0.9952,3.37,12.2,1
0.094,188.0,0.9972,3.4,9.2,0
0.049,86.0,0.9934,3.15,9.4,0
0.052,182.0,0.9958,3.35,9.6,0
0.056,130.0,0.9944,3.28,9.5,0
0.036,195.0,0.9908,3.35,12.5,0
0.052,182.0,0.9958,3.35,9.6,0
0.047,173.0,0.9925,3.35,10.0,0
0.047,211.0,0.9966,3.18,9.3,0
0.058,199.0,0.9972,3.14,9.3,0
0.038,101.0,0.9912,3.29,11.6,0
0.039,150.0,0.995,3.38,12.5,1
0.038,130.0,0.9928,3.36,10.6,0
0.047,206.0,0.9968,3.08,9.4,0
0.056,201.0,0.9955,3.19,9.1,0
0.057,224.0,0.9981,3.23,9.0,0
0.033,94.0,0.991,3.42,11.8,1
0.033,94.0,0.991,3.42,11.8,1
0.033,94.0,0.991,3.42,11.8,1
0.043,159.0,0.992,3.17,10.0,0
0.058,171.0,0.9931,3.06,9.7,0
0.052,165.0,0.997,3.24,9.5,0
0.24,174.0,0.9948,3.12,9.4,0
0.052,183.0,0.9923,3.03,11.2,0
0.051,201.0,0.9976,3.25,9.0,0
0.043,114.0,0.9938,3.3,10.7,1
0.29,193.0,0.9984,3.08,9.0,0
0.044,222.0,0.9972,3.14,9.1,0
0.039,125.0,0.9922,3.26,10.8,1
0.043,136.0,0.9935,3.31,10.1,0
0.037,198.0,0.9944,3.17,9.9,0
0.036,191.0,0.9942,3.17,9.8,0
0.036,185.0,0.9944,3.17,9.8,0
0.041,225.0,0.9997,3.16,9.5,0
0.047,198.0,0.9977,3.23,9.5,0
0.022,94.0,0.9912,3.23,11.1,0
0.039,204.0,0.9982,3.06,9.5,0
0.039,204.0,0.9982,3.06,9.5,0
0.042,204.0,0.9983,3.06,9.4,0
0.042,197.0,0.998,3.06,9.7,0
0.03,135.0,0.9894,3.41,13.9,1
0.042,84.0,0.9927,3.22,10.1,0
0.038,110.0,0.9917,3.12,10.5,0
0.037,115.0,0.9904,3.42,12.6,0
0.032,41.0,0.993,2.89,10.9,0
0.041,218.0,0.9941,3.15,10.0,0
0.046,166.0,0.9943,3.13,11.2,0
0.05,130.0,0.99855,3.11,10.0,0
0.044,98.0,0.99345,3.14,9.2,0
0.046,172.0,0.998,3.35,9.5,0
0.035,128.0,0.9916,3.1,12.3,0
0.035,128.0,0.9916,3.1,12.3,0
0.04,213.0,0.99475,3.32,10.0,0
0.038,187.0,0.99325,3.41,10.8,0
0.038,150.0,0.9933,3.49,10.5,1
0.048,221.0,0.9969,3.06,9.2,0
0.042,157.0,1.0002,2.96,9.1,0
0.038,150.0,0.9933,3.49,10.5,1
0.042,127.0,0.9937,3.45,10.2,1
0.053,178.0,0.99685,3.02,8.9,0
0.046,182.0,0.99455,3.5,10.4,0
0.032,128.0,0.9917,3.37,11.7,0
0.02,89.0,0.99035,3.26,12.4,1
0.028,122.0,0.9914,3.14,10.9,1
0.041,136.0,0.99225,3.15,10.2,0
0.038,114.0,0.99155,3.37,11.7,1
0.057,101.0,0.9954,2.99,9.4,0
0.043,157.0,0.99455,3.35,10.5,0
0.185,188.0,0.9924,3.12,9.4,0
0.042,139.0,0.99695,3.35,10.4,0
0.044,240.0,0.99655,3.25,9.5,0
0.022,49.0,0.9934,3.01,11.1,1
0.052,183.0,0.998,3.02,9.1,0
0.04,191.0,0.9971,3.28,9.2,0
0.038,129.0,0.9948,3.14,9.6,0
0.052,183.0,0.998,3.02,9.1,0
0.04,191.0,0.9971,3.28,9.2,0
0.021,142.0,0.99215,3.17,10.8,1
0.038,129.0,0.9948,3.14,9.6,0
0.022,19.0,0.9915,3.31,12.6,0
0.031,57.0,0.99115,3.44,11.0,0
0.03,136.0,0.9932,3.28,10.2,0
0.034,152.0,0.9977,3.33,9.4,0
0.041,160.0,0.99535,3.17,10.0,0
0.022,113.0,0.99165,3.26,12.2,0
0.033,253.0,0.9953,3.22,10.5,0
0.024,177.0,0.9928,3.04,11.5,0
0.049,176.0,0.9958,3.3,9.8,0
0.025,175.0,0.9928,3.04,11.4,0
0.024,177.0,0.9928,3.04,11.5,0
0.036,167.0,0.9964,3.15,10.2,0
0.038,160.0,0.9987,3.16,9.4,0
0.033,253.0,0.9953,3.22,10.5,0
0.11,138.0,0.9932,3.09,9.1,0
0.032,107.0,0.9907,3.25,12.2,1
0.056,175.0,0.99755,3.42,9.5,0
0.051,178.0,0.99935,3.4,9.3,0
0.051,136.0,0.9932,3.3,9.8,1
0.047,134.0,0.9932,3.3,9.8,1
0.049,176.0,0.9958,3.3,9.8,0
0.05,173.0,0.99585,3.3,9.8,0
0.057,247.0,1.00055,3.0,8.7,0
0.039,128.0,0.9985,3.37,10.2,0
0.042,168.0,0.99505,3.22,9.5,0
0.05,135.0,0.992,2.94,11.0,0
0.078,238.0,0.9988,3.08,9.2,0
0.028,46.0,0.99175,3.21,10.9,0
0.043,113.0,0.9962,3.42,9.3,1
0.043,113.0,0.9962,3.42,9.3,1
0.045,120.0,0.9942,3.41,9.8,1
0.13,140.0,0.9927,3.12,9.3,1
0.135,144.0,0.9927,3.12,9.3,1
0.039,172.0,0.99985,3.4,9.4,0
0.035,124.0,0.997,3.2,10.4,1
0.115,104.0,0.9918,3.24,12.1,0
0.039,98.0,0.99215,3.02,11.0,0
0.052,197.0,0.99865,3.12,9.0,0
0.053,178.0,0.9992,3.37,9.5,1
0.053,145.0,1.0006,3.28,8.8,1
0.042,55.0,0.99135,3.37,11.2,0
0.056,213.0,0.99715,3.08,9.3,0
0.053,178.0,0.9992,3.37,9.5,1
0.053,145.0,1.0006,3.28,8.8,1
0.052,197.0,0.99865,3.12,9.0,0
0.039,119.0,0.99815,3.27,9.3,0
0.04,117.0,0.99815,3.27,9.2,0
0.04,117.0,0.99815,3.27,9.2,0
0.037,116.0,0.9949,3.46,10.0,1
0.039,119.0,0.99815,3.27,9.3,0
0.04,117.0,0.99815,3.27,9.2,0
0.033,92.0,0.99225,3.39,10.9,1
0.046,144.0,0.99445,3.1,10.0,0
0.033,92.0,0.99225,3.39,10.9,1
0.049,173.0,0.99335,3.03,9.3,0
0.05,157.0,0.99625,3.09,9.0,0
0.054,215.0,0.9971,3.02,9.2,0
0.046,153.0,0.9983,3.28,9.6,0
0.041,113.0,0.99445,3.42,9.4,0
0.036,75.0,0.99085,3.34,11.1,1
0.036,161.0,0.9977,3.06,8.9,0
0.048,222.0,0.9953,3.19,9.3,0
0.044,220.0,0.99775,3.07,9.3,0
0.039,165.0,0.99795,3.41,9.8,1
0.032,112.0,0.99505,3.22,9.8,0
0.036,161.0,0.9977,3.06,8.9,0
0.046,205.0,0.9975,3.17,9.6,0
0.046,204.0,0.99745,3.16,9.6,0
0.046,246.0,0.9976,3.15,9.0,0
0.046,206.0,0.99775,3.17,9.5,0
0.048,222.0,0.9953,3.19,9.3,0
0.063,120.0,0.9932,3.21,9.2,0
0.055,160.0,0.99405,3.42,9.1,1
0.045,166.0,1.0,3.38,9.5,0
0.072,229.0,0.99785,3.03,10.5,0
0.04,125.0,0.9939,3.01,9.0,0
0.036,77.0,0.9939,3.16,11.7,0
0.034,133.0,0.99675,3.2,9.1,0
0.04,125.0,0.9939,3.01,9.0,0
0.034,133.0,0.99675,3.2,9.1,0
0.021,85.0,0.98965,3.41,12.4,1
0.071,212.0,0.9971,2.96,9.2,0
0.053,104.0,0.99445,3.3,9.4,0
0.047,117.0,0.9945,3.34,9.6,0
0.036,77.0,0.9939,3.16,11.7,0
0.042,167.0,0.9958,3.26,9.8,0
0.046,155.0,0.9956,3.33,10.2,0
0.031,139.0,0.99055,3.28,12.5,1
0.044,90.0,0.9959,3.16,10.9,1
0.043,90.0,0.9925,3.16,11.0,1
0.06,110.0,0.9963,3.72,10.5,0
0.037,161.0,0.9935,3.05,11.5,0
0.044,108.0,0.99105,3.36,12.8,1
0.035,82.0,0.99045,3.18,12.2,0
0.06,110.0,0.9963,3.72,10.5,0
0.04,108.0,0.99155,3.14,12.8,1
0.034,177.0,0.99085,3.25,11.9,1
0.034,177.0,0.99085,3.25,11.9,1
0.034,177.0,0.99085,3.25,11.9,1
0.034,126.0,0.9924,3.16,12.0,1
0.036,126.0,0.9924,3.16,12.0,1
0.044,169.0,0.99975,3.12,8.8,1
0.044,169.0,0.99975,3.12,8.8,1
0.036,101.0,0.99315,3.21,10.8,1
0.034,118.0,0.9917,3.3,11.0,1
0.034,118.0,0.9917,3.3,11.0,1
0.035,153.0,0.99845,3.02,9.3,0
0.026,73.0,0.9921,3.08,10.8,0
0.044,169.0,0.99975,3.12,8.8,1
0.03,105.0,0.9909,3.31,11.5,0
0.036,101.0,0.99315,3.21,10.8,1
0.042,166.0,0.99855,3.1,9.4,0
0.036,117.0,0.9934,3.27,9.5,1
0.039,151.0,0.9978,3.06,8.6,0
0.036,117.0,0.9934,3.27,9.5,1
0.038,116.0,0.9949,3.49,10.3,1
0.042,166.0,0.99855,3.1,9.4,0
0.042,169.0,0.9986,3.1,9.4,0
0.038,149.0,0.99725,3.17,10.0,1
0.17,166.0,0.9946,3.18,9.4,0
0.03,103.0,0.99255,3.22,10.4,1
0.041,182.0,0.9996,3.29,9.1,1
0.028,163.0,0.9939,3.36,9.9,0
0.029,111.0,0.99,3.24,12.1,0
0.028,163.0,0.9937,3.35,9.9,0
0.021,117.0,0.9886,3.12,12.5,0
0.036,117.0,0.9934,3.27,9.5,1
0.042,143.0,1.0,3.24,8.5,1
0.04,173.0,0.9994,3.28,9.0,1
0.037,97.0,0.9926,3.19,10.1,0
0.08,159.0,0.9956,3.04,9.4,0
0.039,151.0,0.9978,3.06,8.6,0
0.03,125.0,0.9915,3.06,10.7,0
0.037,33.0,0.9939,2.89,9.6,0
0.029,64.0,0.9932,3.35,10.1,0
0.037,141.0,0.993,3.2,10.0,1
0.018,119.0,0.9898,3.28,12.7,1
0.119,104.0,0.9921,3.19,10.2,0
0.126,110.0,0.9932,3.23,8.9,0
0.037,111.0,0.9919,3.41,11.9,1
0.037,141.0,0.993,3.2,10.0,1
0.04,121.0,0.9953,3.19,9.9,0
0.022,125.0,0.9928,3.13,11.5,0
0.022,125.0,0.9928,3.13,11.5,0
0.035,236.0,0.9976,3.35,9.8,0
0.024,105.0,0.9906,3.4,12.2,1
0.04,173.0,0.9918,3.19,11.4,0
0.044,90.0,0.99185,3.37,11.0,1
0.04,173.0,0.9918,3.19,11.4,0
0.044,90.0,0.99185,3.37,11.0,1
0.046,166.0,0.994,3.3,9.9,0
0.031,114.0,0.9908,3.42,11.0,1
0.036,114.0,0.9928,3.58,9.4,0
0.037,128.0,0.9896,3.12,12.2,1
0.031,114.0,0.9908,3.42,11.0,1
0.043,67.0,0.9918,3.23,10.3,0
0.047,242.0,0.9952,3.22,10.5,0
0.044,87.0,0.9923,3.08,10.5,0
0.039,67.0,0.9915,3.05,10.9,0
0.047,242.0,0.9952,3.22,10.5,0
0.052,145.0,0.9947,3.32,11.0,1
0.046,113.0,0.9983,3.25,9.7,0
0.048,229.0,0.9975,3.08,8.9,0
0.047,206.0,0.995,3.2,9.6,0
0.056,159.0,0.9944,3.02,8.8,1
0.047,101.0,0.994,3.06,11.1,0
0.048,72.0,0.9944,3.08,10.3,0
0.036,124.0,0.9908,3.28,12.2,1
0.054,159.0,0.99795,3.32,9.8,0
0.049,217.0,0.9985,3.08,8.8,0
0.04,144.0,0.99425,3.15,9.9,0
0.042,143.0,0.99425,3.15,9.9,0
0.041,145.0,0.9943,3.15,9.9,0
0.038,30.0,0.9924,3.36,9.2,0
0.05,88.0,0.9946,3.24,9.5,0
0.038,30.0,0.9924,3.36,9.2,0
0.042,137.0,0.995,3.36,10.3,1
0.037,124.0,0.9919,2.93,11.0,0
0.031,107.0,0.99,3.06,11.9,0
0.04,107.0,0.9923,2.94,10.2,1
0.057,144.0,0.9956,3.55,9.4,1
0.036,153.0,0.9978,3.13,8.9,0
0.036,153.0,0.9978,3.13,8.9,0
0.044,215.0,0.9967,3.17,10.0,0
0.044,152.0,0.9934,3.45,10.7,1
0.047,100.0,0.9936,3.28,9.8,0
0.042,80.0,0.9932,3.36,9.3,0
0.057,173.0,0.9934,3.02,9.5,1
0.055,179.0,0.998,3.58,10.0,0
0.044,115.0,0.9978,3.15,9.0,0
0.017,84.0,0.9929,3.14,11.9,1
0.033,230.0,0.9974,3.08,8.9,0
0.046,225.0,0.99685,3.18,10.0,0
0.037,205.0,0.99495,3.26,9.6,0
0.039,233.0,0.99745,3.08,8.9,0
0.041,230.0,0.99505,3.12,8.9,0
0.048,67.0,0.992,3.08,11.4,0
0.044,115.0,0.9978,3.15,9.0,0
0.044,244.0,0.9956,3.36,10.0,0
0.044,194.0,0.9982,3.06,9.6,1
0.034,197.0,0.99485,3.14,9.7,0
0.037,212.0,0.9971,3.25,9.5,0
0.039,88.0,0.99265,3.54,10.0,1
0.03,135.0,0.9904,3.14,12.2,1
0.051,131.0,0.9965,3.28,8.7,1
0.058,105.0,0.9946,3.52,10.2,1
0.047,205.0,0.99965,2.96,9.6,0
0.039,147.0,0.9935,2.96,10.0,0
0.048,57.0,0.996,3.36,9.5,0
0.034,84.0,0.9942,3.18,11.5,0
0.043,134.0,0.9936,3.08,9.5,0
0.035,143.0,0.9965,3.08,9.8,0
0.028,99.0,0.9928,3.23,10.1,0
0.042,117.0,0.9928,2.99,10.0,0
0.035,143.0,0.9965,3.08,9.8,0
0.043,134.0,0.9936,3.08,9.5,0
0.042,133.0,0.9938,3.07,9.5,0
0.041,79.0,0.9926,3.39,10.2,1
0.039,78.0,0.9926,3.39,10.2,1
0.05,174.0,0.9983,3.03,9.0,0
0.05,174.0,0.9983,3.03,9.0,0
0.037,101.0,0.992,3.13,12.3,1
0.05,174.0,0.9983,3.03,9.0,0
0.023,112.0,0.9923,3.37,11.6,0
0.034,152.0,0.9972,3.28,9.5,0
0.035,101.0,0.9928,3.15,11.5,0
0.041,188.0,0.9928,3.13,9.6,0
0.039,153.0,0.9994,3.24,9.0,0
0.028,93.0,0.991,3.34,12.0,1
0.019,68.0,0.9906,3.33,11.4,1
0.017,102.0,0.9894,3.38,12.3,1
0.02,110.0,0.9898,3.32,12.6,1
0.039,153.0,0.9994,3.24,9.0,0
0.028,93.0,0.991,3.34,12.0,1
0.046,114.0,0.9925,3.32,11.7,0
0.054,111.0,0.9956,3.12,9.2,0
0.058,131.0,0.9946,3.51,10.3,0
0.05,189.0,0.9966,3.25,8.6,0
0.037,155.0,0.9951,3.39,10.7,1
0.15,54.0,0.9927,3.12,9.8,0
0.152,55.0,0.9927,3.12,9.8,0
0.037,155.0,0.9951,3.39,10.7,1
0.027,72.0,0.9894,3.5,12.5,0
0.026,77.0,0.9907,3.41,11.9,0
0.043,149.0,0.9925,3.44,10.8,0
0.05,122.0,0.9928,3.42,10.5,0
0.054,161.0,0.9941,3.12,10.3,0
0.053,163.0,0.9941,3.12,10.3,0
0.043,149.0,0.9925,3.44,10.8,0
0.036,117.0,0.9935,3.06,12.0,1
0.04,143.0,0.9932,2.95,10.2,0
0.046,69.0,0.9944,3.14,10.2,0
0.049,217.0,0.9972,3.19,9.9,0
0.046,62.0,0.994,3.38,10.1,0
0.04,187.0,0.9956,3.25,9.5,0
0.046,154.0,0.9927,3.05,10.5,0
0.046,29.0,0.9924,3.29,10.4,0
0.062,152.0,0.9966,3.31,9.5,0
0.056,184.0,0.9997,3.05,9.2,0
0.046,165.0,0.9936,3.05,10.1,1
0.05,84.0,0.9936,3.15,9.8,1
0.045,216.0,0.9952,3.09,9.4,0
0.045,221.0,0.9952,3.09,9.4,0
0.063,136.0,0.9928,3.31,10.4,1
0.038,153.0,0.9911,3.34,11.3,0
0.044,91.0,0.993,3.42,10.8,0
0.038,153.0,0.9911,3.34,11.3,0
0.052,79.0,0.9932,3.32,9.3,0
0.059,199.0,0.993,3.37,10.3,1
0.055,146.0,0.993,3.08,10.5,0
0.043,109.0,0.9932,3.11,10.3,0
0.048,173.0,0.9932,3.24,11.2,1
0.057,98.0,0.9943,3.15,10.3,0
0.048,210.0,0.9968,3.19,9.5,0
0.064,162.0,0.9994,3.66,8.9,0
0.036,113.0,0.9926,3.03,10.2,0
0.071,136.0,0.9968,2.98,9.2,0
0.043,109.0,0.9932,3.11,10.3,0
0.045,157.0,0.9916,2.95,10.5,0
0.049,189.0,0.9946,3.21,9.5,0
0.041,125.0,0.9925,3.11,11.4,1
0.041,125.0,0.9925,3.11,11.4,1
0.019,188.0,0.9935,3.25,11.1,1
0.06,174.0,0.9962,3.13,10.5,0
0.088,185.0,0.9928,3.51,12.0,0
0.039,123.0,0.993,3.38,9.7,0
0.042,140.0,0.993,3.32,10.2,0
0.04,60.0,0.9956,3.09,9.5,0
0.052,128.0,0.9941,3.41,10.4,1
0.05,245.0,0.9972,3.19,9.3,0
0.054,166.0,0.9948,3.48,10.5,0
0.047,232.0,0.9955,3.35,10.0,0
0.055,234.0,0.9972,3.49,10.2,0
0.055,234.0,0.9972,3.49,10.2,0
0.244,227.0,0.9983,2.87,9.1,0
0.04,148.0,0.9942,3.16,10.2,0
0.06,75.0,0.9936,3.54,10.7,0
0.044,77.0,0.9956,3.21,9.7,0
0.034,104.0,0.9953,3.37,9.3,1
0.035,102.0,0.9918,3.05,11.0,0
0.047,138.0,0.995,3.22,10.8,0
0.039,75.0,0.992,3.01,10.7,0
0.043,104.0,0.9952,3.24,10.7,0
0.048,243.0,1.001,2.95,8.8,0
0.049,94.0,0.9924,3.16,10.9,1
0.05,92.0,0.9932,3.14,10.5,0
0.046,107.0,0.9937,3.29,10.0,0
0.029,61.0,0.9918,3.07,10.4,0
0.038,75.0,0.9934,3.03,9.2,0
0.035,116.0,0.991,3.31,12.6,0
0.048,152.0,0.9962,3.1,9.0,0
0.137,123.0,0.9932,3.03,9.2,0
0.035,86.0,0.9908,2.99,11.3,0
0.05,119.0,0.9962,3.12,10.3,0
0.029,61.0,0.9918,3.07,10.4,0
0.049,111.0,0.9941,2.96,10.0,0
0.06,111.0,0.9931,3.51,10.7,0
0.093,197.0,0.9981,3.41,9.0,0
0.06,111.0,0.9931,3.51,10.7,0
0.077,166.0,0.9944,3.3,8.7,0
0.054,121.0,0.992,3.09,11.6,1
0.07,185.0,0.9966,3.34,9.4,0
0.079,216.0,0.9956,3.31,9.5,0
0.073,202.0,0.9956,3.3,9.5,0
0.072,159.0,0.9949,3.37,10.9,0
0.054,126.0,1.0002,3.22,9.7,0
0.048,172.0,0.9942,3.08,9.1,0
0.037,125.0,0.9923,3.1,11.1,1
0.024,87.0,0.9917,2.96,12.6,1
0.031,147.0,0.9931,3.35,11.0,0
0.04,166.0,0.992,3.0,11.3,1
0.054,126.0,1.0002,3.22,9.7,0
0.036,118.0,0.9953,2.96,10.9,1
0.048,192.0,0.9951,2.97,10.9,0
0.049,186.0,0.9974,3.17,9.3,0
0.033,124.0,0.9904,3.22,12.7,1
0.048,180.0,0.9974,3.37,10.1,0
0.037,132.0,0.9944,3.18,10.0,0
0.051,197.0,1.0004,3.49,9.8,0
0.046,227.0,0.9952,3.29,10.1,0
0.059,118.0,0.9956,3.43,9.0,1
0.038,155.0,0.995,3.28,9.4,0
0.038,155.0,0.995,3.28,9.4,0
0.048,190.0,0.9995,3.03,9.2,0
0.035,142.0,0.9942,3.36,10.1,1
0.041,160.0,0.9977,3.06,8.6,0
0.027,128.0,0.992,3.55,11.2,1
0.037,123.0,0.992,3.17,11.2,1
0.048,190.0,0.9995,3.03,9.2,0
0.034,127.0,0.9934,3.19,10.6,1
0.049,213.0,1.0006,3.01,9.3,0
0.048,178.0,0.9982,3.05,8.9,0
0.069,156.0,0.9928,3.42,10.6,0
0.038,132.0,0.9945,3.1,10.6,1
0.045,183.0,0.9963,3.09,8.8,0
0.033,97.0,0.9906,3.59,11.0,1
0.04,139.0,0.9956,3.32,10.2,0
0.035,142.0,0.9942,3.36,10.1,1
0.039,120.0,0.9962,3.31,10.1,0
0.025,120.0,0.9894,3.39,14.0,1
0.038,155.0,0.995,3.28,9.4,0
0.028,107.0,0.9908,3.27,11.8,0
0.033,148.0,0.9914,3.44,11.4,0
0.036,117.0,0.9938,3.12,10.7,0
0.041,160.0,0.9977,3.06,8.6,0
0.028,191.0,0.9922,3.51,11.5,1
0.027,128.0,0.992,3.55,11.2,1
0.029,87.0,0.9903,3.3,12.6,1
0.024,76.0,0.9893,3.21,12.6,1
0.054,151.0,0.9952,3.04,9.3,0
0.029,87.0,0.9903,3.3,12.6,1
0.04,96.0,0.9912,3.06,12.1,0
0.053,177.0,0.9983,3.52,9.9,0
0.047,102.0,0.9937,3.28,10.7,0
0.047,26.0,0.9932,3.26,10.0,0
0.047,96.0,0.9928,3.13,10.4,1
0.04,64.0,0.9922,3.29,10.5,0
0.037,216.0,0.9976,3.31,9.7,0
0.04,64.0,0.9922,3.29,10.5,0
0.042,138.0,0.9974,3.28,9.0,0
0.051,106.0,0.998,3.54,9.2,0
0.047,117.0,0.9931,3.17,10.1,0
0.04,89.0,0.9911,3.35,11.4,1
0.042,124.0,0.9944,2.93,10.8,0
0.044,135.0,0.9937,2.96,10.9,0
0.047,182.0,0.9974,3.2,9.2,0
0.038,166.0,0.989,3.12,12.9,1
0.042,99.0,0.992,3.23,12.0,1
0.047,100.0,0.9928,3.27,9.5,0
0.031,117.0,0.9918,3.06,11.8,1
0.048,159.0,0.9936,3.19,9.1,0
0.047,128.0,0.9944,3.2,9.7,0
0.043,162.0,0.9988,3.17,9.1,0
0.053,114.0,0.994,2.99,10.0,0
0.042,127.0,0.9953,3.25,10.4,0
0.048,161.0,0.9986,3.44,9.5,0
0.027,178.0,0.9914,3.4,12.3,1
0.031,170.0,0.9934,3.42,11.7,1
0.058,133.0,0.996,3.14,9.5,0
0.034,91.0,0.9937,2.99,11.5,0
0.076,57.0,0.9921,3.14,10.6,0
0.052,146.0,0.998,3.17,10.2,0
0.058,133.0,0.996,3.14,9.5,0
0.048,131.0,0.9933,3.25,10.5,0
0.047,132.0,0.9933,3.26,10.5,0
0.041,223.0,0.9959,3.14,8.9,0
0.031,151.0,0.9936,3.03,10.6,0
0.041,188.0,0.9953,3.17,9.5,0
0.025,111.0,0.9938,3.2,10.8,0
0.038,220.0,0.9952,3.14,9.5,0
0.042,219.0,0.9959,3.13,8.9,0
0.041,223.0,0.9959,3.14,8.9,0
0.042,79.0,0.9937,3.31,9.4,0
0.035,102.0,0.992,3.5,10.6,0
0.037,171.0,0.9967,3.47,9.0,0
0.034,172.0,0.9944,3.42,10.5,0
0.054,135.0,0.9998,3.16,9.0,0
0.054,135.0,0.9998,3.16,9.0,0
0.201,189.5,0.9942,3.27,9.4,0
0.054,135.0,0.9998,3.16,9.0,0
0.055,153.0,0.9945,3.29,9.6,0
0.054,135.0,0.9998,3.16,9.0,0
0.043,151.0,0.9946,3.15,10.2,1
0.201,189.5,0.9942,3.27,9.4,0
0.057,73.0,0.9928,3.07,10.4,0
0.03,129.0,0.9946,3.52,10.4,0
0.039,82.0,0.9927,3.23,9.5,0
0.044,113.0,0.9938,3.22,10.6,0
0.037,74.0,0.9918,3.21,11.0,0
0.055,153.0,0.9945,3.29,9.6,0
0.062,115.0,0.9966,3.38,9.9,0
0.03,118.0,0.9954,3.14,9.6,0
0.036,119.0,0.9913,3.01,12.8,0
0.045,101.0,0.9931,3.42,11.4,0
0.036,214.0,0.9986,3.41,10.0,0
0.042,173.0,0.9965,3.0,9.1,0
0.039,198.0,0.9984,3.36,9.4,1
0.042,189.0,0.9952,3.46,10.2,0
0.036,167.0,0.9956,2.97,9.2,0
0.044,109.0,0.9949,3.23,9.4,0
0.03,118.0,0.9954,3.14,9.6,0
0.029,125.0,0.996,3.12,10.1,0
0.045,101.0,0.9931,3.42,11.4,0
0.025,134.0,0.992,3.21,10.6,0
0.033,138.0,0.9912,3.18,12.8,1
0.065,225.0,0.9978,3.12,8.9,0
0.048,184.0,0.9938,3.09,9.3,0
0.026,104.0,0.9914,3.25,11.1,1
0.037,143.0,0.9932,3.13,9.9,0
0.068,55.0,0.9944,3.1,9.6,0
0.036,119.0,0.9913,3.01,12.8,0
0.024,135.0,0.9948,3.16,10.7,1
0.074,107.0,0.998,2.96,9.2,0
0.042,129.5,0.9998,3.36,9.1,1
0.025,216.0,0.9964,3.33,9.6,0
0.038,141.0,0.9992,3.03,9.2,0
0.024,135.0,0.9948,3.16,10.7,1
0.042,129.5,0.9998,3.36,9.1,1
0.074,107.0,0.998,2.96,9.2,0
0.02,93.0,0.9939,3.0,10.7,1
0.027,93.0,0.992,3.3,10.8,0
0.028,75.0,0.9922,3.3,10.8,1
0.046,192.0,0.9955,3.1,9.0,0
0.049,97.0,0.9917,3.48,10.7,0
0.049,97.0,0.9917,3.48,10.7,0
0.047,200.0,0.9954,3.19,9.4,0
0.037,171.0,0.9986,2.94,8.8,0
0.046,192.0,0.9955,3.1,9.0,0
0.031,134.0,0.9917,3.42,11.5,0
0.03,125.0,0.9907,3.23,12.5,0
0.042,59.0,0.9922,2.96,10.5,0
0.064,188.0,0.9958,3.29,9.7,0
0.04,155.0,0.993,3.23,11.3,0
0.049,97.0,0.9917,3.48,10.7,0
0.033,59.0,0.9926,2.74,10.8,0
0.045,169.0,0.9959,3.17,10.6,0
0.034,93.0,0.9906,3.04,11.7,1
0.301,220.0,0.9993,2.94,9.2,0
0.027,126.0,0.993,3.02,11.1,1
